Linear Regression	TV	Radio	Newspaper
15.1814	193.2	18.4	65.7
11.5987	76.3	27.5	16
15.5938	110.7	40.6	63.2
11.7113	88.3	25.5	73.4
16.9223	109.8	47.8	51.4
9.99923	134.3	4.9	9.3
4.49632	28.6	1.5	33
19.1564	217.7	33.5	59
21.2276	250.9	36.5	72.3
10.4821	107.4	14	10.9
16.3149	163.3	31.6	52.9
12.6357	197.6	3.5	5.9
15.3371	184.9	21	22
24.1186	289.7	42.3	51.2
16.9404	135.2	41.7	45.9
13.876	222.4	4.3	49.8
23.2425	296.4	36.3	100.9
17.6441	280.2	10.1	21.4
14.7622	187.9	17.2	17.9
20.3011	238.2	34.3	5.3
17.9364	137.9	46.4	59
6.12602	25	11	29.7
7.1085	90.4	0.3	23.2
3.58726	13.1	0.4	25.6
19.6929	255.4	26.9	5.5
14.7599	225.8	8.2	56.5
21.1403	241.7	38	23.2
13.8806	175.7	15.4	2.4
16.4038	209.6	20.6	10.7
15.3051	78.2	46.8	34.5
12.9197	75.1	35	52.7
11.9787	139.2	14.3	25.6
6.57078	76.4	0.8	14.8
15.5661	125.7	36.9	79.2
6.82007	19.4	16	22.3
14.4101	141.3	26.8	46.2
7.83808	18.8	21.7	50.4
13.6265	224	2.4	15.6
15.0828	123.1	34.6	12.4
19.4544	229.5	32.3	74.2
9.12735	87.2	11.8	25.9
10.5772	7.8	38.9	50.6
6.59967	80.2	0	9.2
22.2555	220.3	49	3.2
7.88411	59.6	12	43.1
10.4277	0.7	39.6	8.7
15.5778	265.2	2.9	43
8.44915	8.4	27.2	2.1
19.2669	219.8	33.5	45.1
11.8368	36.9	38.6	65.6
14.0014	48.3	47	8.5
11.4535	25.6	39	9.3
20.8513	273.7	28.9	59.7
9.76843	43	25.9	20.5
19.6755	184.9	43.9	1.7
9.48964	73.4	17	12.9
18.399	193.7	35.4	75.6
19.2499	220.5	33.2	37.9
8.7648	104.6	5.7	34.4
10.0913	96.2	14.8	38.9
9.70854	140.3	1.9	9
15.2942	240.1	7.3	8.7
23.2609	243.2	49	44.3
12.2634	38	40.3	11.9
9.82727	44.7	25.8	20.6
18.3672	280.7	13.9	37
10.0095	121	8.4	48.7
16.36	197.6	23.3	14.2
18.2239	171.3	39.7	37.7
15.5016	187.8	21.1	9.5
5.30756	4.1	11.6	5.7
15.3849	93.9	43.5	50.5
10.0143	149.8	1.3	24.3
10.3842	11.7	36.9	45.2
12.3991	131.7	18.4	34.6
14.2138	172.5	18.1	30.7
13.5591	85.7	35.8	49.3
14.9468	188.4	18.1	25.6
17.3516	163.5	36.8	7.4
11.0683	117.2	14.7	5.4
14.2237	234.5	3.4	84.8
10.8244	17.9	37.6	21.6
13.3632	206.8	5.2	19.4
17.1861	215.4	23.6	57.6
17.9416	284.3	10.6	6.4
7.39498	50	11.6	18.4
14.3583	164.5	20.9	47.4
7.60769	19.6	20.1	17
11.9709	168.4	7.1	12.8
13.7444	222.4	3.4	13.1
24.7869	276.9	48.9	41.8
19.9794	248.4	30.2	20.3
12.162	170.2	7.8	35.2
16.011	276.7	2.3	23.7
12.3846	165.6	10	17.6
10.5872	156.6	2.6	8.3
13.9281	218.5	5.4	27.4
6.55467	56.2	5.7	29.7
24.1331	287.6	43	71.8
18.5385	253.8	21.3	30
20.803	205	45.1	19.6
9.69137	139.5	2.1	26.6
17.0764	191.1	28.7	18.2
18.6443	286	13.9	3.7
6.05162	18.7	12.1	23.4
12.4892	39.5	41.1	5.8
8.42402	75.5	10.8	6
4.46623	17.2	4.1	31.6
18.487	166.8	42	3.6
16.4953	149.7	35.6	6
5.37034	38.2	3.7	13.8
8.16531	94.2	4.9	8.1
12.7859	177	9.3	6.4
23.7673	283.6	42	66.2
15.1732	232.1	8.6	8.7
